Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
27,-1.6613,1.4045,78.0706,-2.388,-6.96,0.444,13.073,18.079,32.944,7.533,-0.499,-5.712,7.449,-4.145,-8.357,8.549,-6.165,15.0,-2.235,4.962,16.626,-16.041,16.03,21.887,72.76,-10.921,0.0,5.012,-10.808,-18.697,36.059,69.249,0.0,-50.379,0.0
28,-1.6916,1.44,78.0728,-2.352,-6.952,0.455,13.027,17.982,32.861,7.417,2.834,-5.713,7.38,-4.177,-8.168,8.371,2.168,15.0,-2.216,4.868,16.709,-15.285,16.066,-6.488,70.144,-10.87,0.0,5.049,-10.882,-18.568,35.53,69.055,0.0,-50.599,0.0
29,-1.7193,1.4694,78.075,-2.32,-6.939,0.473,12.97,17.893,32.749,7.352,4.654,-5.71,7.334,-4.34,-8.488,8.12,13.029,15.0,-2.293,4.761,16.817,-14.341,16.315,-59.637,68.443,-10.825,0.0,5.08,-11.077,-18.441,35.482,69.053,0.0,-50.85,0.0
30,-1.7467,1.493,78.0771,-2.291,-6.926,0.511,12.917,17.855,32.762,7.385,4.209,-5.704,7.288,-4.506,-8.861,8.284,9.285,15.0,-2.104,4.668,16.774,-15.369,15.797,-107.015,77.379,-10.786,0.0,5.105,-11.045,-18.394,35.667,69.169,0.0,-51.107,0.0
31,-1.7731,1.5095,78.0794,-2.268,-6.914,0.568,12.846,17.816,32.708,7.526,0.141,-5.694,7.271,-4.559,-8.903,8.037,16.859,15.0,-1.865,4.584,16.706,-17.12,14.453,-141.54,97.387,-10.751,0.0,5.125,-10.931,-18.382,35.9,69.044,0.0,-51.359,0.0
32,-1.7979,1.5192,78.0819,-2.25,-6.896,0.623,12.768,17.791,32.674,7.537,0.664,-5.676,7.216,-4.603,-8.929,8.216,12.208,15.0,-1.777,4.49,16.701,-18.016,14.118,-55.596,108.712,-10.719,0.0,5.141,-10.935,-18.333,36.12,68.943,0.0,-51.606,0.0
33,-1.8215,1.5246,78.0845,-2.232,-6.875,0.689,12.68,17.772,32.638,7.669,-3.243,-5.648,7.161,-4.641,-8.961,8.578,1.029,15.0,-1.809,4.385,16.741,-18.349,14.521,30.348,114.464,-10.689,0.0,5.153,-11.048,-18.256,36.413,68.948,0.0,-51.843,0.0
34,-1.8443,1.5262,78.0875,-2.212,-6.849,0.775,12.578,17.729,32.497,7.791,-7.467,-5.611,7.117,-4.609,-8.778,8.706,-3.393,15.0,-1.63,4.279,16.689,-18.993,13.526,116.291,120.0,-10.659,0.0,5.161,-10.94,-18.215,36.393,68.924,0.0,-52.067,0.0
35,-1.8678,1.5223,78.0906,-2.189,-6.813,0.875,12.504,17.697,32.429,7.705,-5.439,-5.564,7.1,-4.582,-8.631,8.679,-3.307,15.0,-1.66,4.155,16.746,-18.485,14.158,135.826,114.743,-10.63,0.0,5.167,-10.988,-18.095,36.029,68.895,0.0,-52.272,0.0
36,-1.8935,1.5139,78.0933,-2.166,-6.799,1.0,12.42,17.643,32.273,7.706,-6.472,-5.517,7.115,-4.568,-8.527,8.58,-1.918,15.0,-1.647,4.022,16.795,-18.479,14.298,135.966,114.796,-10.596,0.0,5.175,-10.98,-18.0,35.651,68.825,0.0,-52.445,0.0
37,-1.9221,1.5046,78.0951,-2.142,-6.812,1.146,12.326,17.593,32.12,7.724,-7.058,-5.48,7.177,-4.691,-8.896,8.374,2.603,15.0,-1.644,3.874,16.849,-18.521,14.41,136.385,114.571,-10.555,0.0,5.185,-11.011,-17.944,35.675,68.937,0.0,-52.579,0.0
38,-1.9554,1.5005,78.0959,-2.112,-6.835,1.307,12.212,17.557,31.994,7.797,-7.83,-5.469,7.245,-4.761,-9.052,8.212,5.38,15.0,-1.622,3.718,16.906,-18.649,14.468,136.83,113.91,-10.504,0.0,5.203,-11.003,-17.879,35.393,69.175,0.0,-52.667,0.0
39,-1.9961,1.5068,78.0959,-2.078,-6.848,1.496,12.041,17.534,31.826,7.992,-9.297,-5.503,7.324,-4.787,-9.032,7.75,17.788,15.0,-1.589,3.549,16.957,-18.89,14.45,137.694,112.389,-10.438,0.0,5.229,-11.003,-17.897,35.693,69.343,0.0,-52.708,0.0
40,-2.0458,1.5248,78.0952,-2.048,-6.853,1.723,11.764,17.545,31.605,8.314,-9.194,-5.616,7.372,-4.871,-9.192,7.907,10.472,15.0,-1.561,3.378,17.006,-19.119,14.443,137.563,111.31,-10.354,0.0,5.266,-10.981,-17.922,35.861,69.546,0.0,-52.7,0.0
41,-2.1055,1.5571,78.0928,-2.027,-6.842,1.996,11.349,17.57,31.241,8.768,-7.611,-5.822,7.432,-5.004,-9.53,8.055,2.195,15.0,-1.544,3.205,17.052,-19.37,14.435,137.622,110.3,-10.248,0.0,5.321,-10.927,-17.985,36.081,69.528,0.0,-52.636,0.0
42,-2.1734,1.6062,78.0877,-2.027,-6.815,2.316,10.799,17.61,30.738,9.384,-5.698,-6.119,7.499,-5.14,-9.893,7.887,3.883,15.0,-1.516,3.043,17.078,-19.732,14.334,136.995,108.502,-10.115,0.0,5.399,-10.813,-18.075,36.202,69.497,0.0,-52.51,0.0
43,-2.2499,1.6763,78.0804,-2.052,-6.761,2.69,10.135,17.686,30.203,10.259,-7.454,-6.485,7.554,-5.274,-10.259,7.87,-0.165,15.0,-1.604,2.881,17.131,-19.855,14.419,137.251,109.023,-9.959,0.0,5.495,-10.772,-18.15,36.175,69.668,0.0,-52.327,0.0
44,-2.3359,1.7641,78.0716,-2.072,-6.692,3.134,9.351,17.73,29.505,11.142,-6.744,-6.882,7.559,-5.457,-10.765,7.844,-2.499,15.0,-1.592,2.743,17.127,-20.656,13.911,121.432,114.806,-9.778,0.0,5.605,-10.59,-18.302,36.088,69.596,0.0,-52.105,0.0
45,-2.4316,1.8557,78.0615,-2.087,-6.581,3.604,8.495,17.745,28.806,11.965,-4.045,-7.262,7.402,-5.646,-11.164,7.965,-2.886,15.0,-1.682,2.597,17.147,-20.523,14.251,132.532,111.527,-9.581,0.0,5.716,-10.509,-18.467,36.014,69.505,0.0,-51.866,0.0
46,-2.5381,1.9407,78.051,-2.08,-6.395,4.03,7.664,17.727,28.271,12.802,-7.631,-7.569,6.948,-5.864,-11.409,8.378,0.495,15.0,-1.792,2.432,17.162,-19.859,15.308,150.0,101.893,-9.377,0.0,5.812,-10.594,-18.668,36.526,70.04,0.0,-51.619,0.0
47,-2.6585,2.017,78.0409,-2.027,-6.126,4.391,6.844,17.608,27.693,13.482,-11.286,-7.765,6.13,-6.131,-11.445,9.357,2.579,15.0,-1.885,2.205,17.247,-18.516,16.42,64.057,87.664,-9.175,0.0,5.891,-10.586,-18.816,35.736,69.074,0.0,-51.357,0.0
