Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
29,14.7606,27.5399,70.3163,-24.878,26.005,12.164,-51.605,19.467,-43.627,31.334,-48.254,-15.0,-1.338,-4.532,-20.725,7.552,20.649,15.0,-13.025,-25.647,21.131,-99.599,78.181,-35.227,63.958,11.176,0.0,16.364,-143.434,-77.41,55.244,35.354,0.0,-62.159,0.0
30,15.7534,29.3552,70.3242,-27.507,28.849,11.661,-47.698,16.251,-62.963,20.61,-47.413,-15.0,-2.516,-2.008,-13.302,6.126,20.574,15.0,-12.84,-26.198,21.152,-98.116,78.284,-34.509,64.634,11.505,0.0,15.454,-144.459,-74.783,57.256,36.313,0.0,-62.572,0.0
31,16.8343,31.2334,70.3545,-31.002,31.509,10.856,-49.168,15.771,-67.694,18.881,-45.703,-15.0,-3.402,0.888,-5.002,5.006,29.017,15.0,-12.588,-26.727,21.061,-96.833,78.398,-33.97,64.898,11.701,0.0,12.921,-145.167,-72.142,59.534,37.491,0.0,-62.933,0.0
32,17.9913,33.1768,70.3339,-34.787,34.114,9.934,-55.955,17.786,-57.577,26.091,-43.978,-15.0,-3.798,3.26,2.059,4.609,30.0,15.0,-12.52,-27.379,20.683,-95.534,78.443,-33.104,64.666,11.796,0.0,9.415,-145.631,-69.576,61.981,38.71,0.0,-63.168,0.0
33,19.2226,35.1399,70.2006,-38.329,37.051,8.834,-68.161,22.208,-32.766,42.191,-36.496,-15.0,-3.449,4.731,6.208,4.736,29.978,15.0,-12.574,-28.014,20.167,-94.433,78.338,-32.211,64.095,11.784,0.0,5.583,-146.383,-67.343,65.164,39.764,0.0,-63.415,0.0
34,20.5253,37.1056,69.9795,-41.819,40.475,7.32,-74.4,22.74,-24.244,47.192,-35.286,-15.0,-2.302,5.047,6.697,5.219,29.33,15.0,-12.68,-28.504,19.542,-93.78,78.19,-31.689,63.151,11.674,0.0,2.077,-147.231,-65.449,68.281,40.444,0.0,-63.687,0.0
35,21.8589,39.1355,69.7662,-45.845,43.906,5.428,-87.887,26.808,4.226,64.315,-34.924,-15.0,-0.543,3.968,4.105,6.0,29.413,15.0,-12.918,-29.026,18.522,-94.071,77.87,-30.806,63.875,11.523,0.0,-0.455,-147.193,-63.535,69.451,41.022,0.0,-64.121,0.0
36,23.1693,41.2912,69.6485,-51.494,46.638,2.686,-93.0,27.12,9.501,67.133,-36.116,-15.0,1.711,1.83,0.164,7.167,29.531,15.0,-12.923,-29.392,17.43,-95.503,77.472,-31.219,64.941,11.358,0.0,-1.364,-147.79,-61.788,71.062,41.522,0.0,-65.026,0.0
37,24.4211,43.5154,69.5871,-58.152,48.985,-1.431,-91.474,25.133,-2.758,58.935,-39.377,-15.0,4.155,-0.576,-3.31,8.813,29.324,15.0,-13.806,-29.568,15.782,-98.248,79.4,-39.129,65.258,11.198,0.0,0.0,-163.571,-53.255,86.867,44.546,0.0,-66.139,0.0
38,25.5985,45.748,69.581,-65.451,50.689,-7.161,-93.538,25.042,-4.902,56.461,-44.802,-15.0,6.581,-2.943,-6.175,10.992,29.623,15.0,-11.118,-29.609,16.162,-102.384,75.013,-33.021,67.202,11.052,0.0,0.0,-140.041,-63.097,63.496,41.428,0.0,-66.883,0.0
39,26.7336,48.0324,69.7091,-73.367,51.375,-13.126,-95.116,25.137,-7.51,52.666,-32.544,-15.0,9.116,-5.538,-9.015,13.604,29.477,15.0,-8.844,-29.619,16.419,-107.338,71.419,-30.645,68.563,10.94,0.0,-0.0,-123.879,-69.646,47.353,39.846,0.0,-67.039,0.0
40,27.8687,50.4235,70.0067,-81.459,51.299,-18.562,-95.947,25.454,-10.403,47.916,-24.841,-15.0,11.743,-8.557,-12.084,16.314,29.553,15.0,-8.323,-29.717,15.73,-112.845,70.711,-37.461,68.061,10.916,0.0,0.0,-129.944,-65.493,53.297,43.563,0.0,-66.518,0.0
41,29.0296,52.9433,70.46,-89.28,50.547,-23.19,-96.139,26.141,-13.617,42.027,-14.377,-15.0,14.527,-11.704,-15.003,18.68,30.0,15.0,-4.61,-29.794,16.839,-117.796,64.183,-29.998,68.79,10.985,0.0,0.0,-103.248,-77.557,26.451,40.359,0.0,-65.687,0.0
